date,coin,search_interest
2025-06-21,ETHEREUM,13
2025-06-22,ETHEREUM,18
2025-06-23,ETHEREUM,20
2025-06-24,ETHEREUM,18
2025-06-25,ETHEREUM,18
2025-06-26,ETHEREUM,16
2025-06-27,ETHEREUM,16
2025-06-28,ETHEREUM,14
2025-06-29,ETHEREUM,14
2025-06-30,ETHEREUM,21
2025-07-01,ETHEREUM,17
2025-07-02,ETHEREUM,19
2025-07-03,ETHEREUM,22
2025-07-04,ETHEREUM,16
2025-07-05,ETHEREUM,16
2025-07-06,ETHEREUM,17
2025-07-07,ETHEREUM,20
2025-07-08,ETHEREUM,18
2025-07-09,ETHEREUM,27
2025-07-10,ETHEREUM,35
2025-07-11,ETHEREUM,43
2025-07-12,ETHEREUM,26
2025-07-13,ETHEREUM,28
2025-07-14,ETHEREUM,45
2025-07-15,ETHEREUM,36
2025-07-16,ETHEREUM,57
2025-07-17,ETHEREUM,85
2025-07-18,ETHEREUM,68
2025-07-19,ETHEREUM,69
2025-07-20,ETHEREUM,100
2025-07-21,ETHEREUM,91
2025-07-22,ETHEREUM,66
2025-07-23,ETHEREUM,61
2025-07-24,ETHEREUM,52
2025-07-25,ETHEREUM,50
2025-07-26,ETHEREUM,46
2025-07-27,ETHEREUM,58
2025-07-28,ETHEREUM,60
2025-07-29,ETHEREUM,66
2025-07-30,ETHEREUM,76
2025-07-31,ETHEREUM,72
2025-08-01,ETHEREUM,63
2025-08-02,ETHEREUM,28
2025-08-03,ETHEREUM,28
2025-08-04,ETHEREUM,33
2025-08-05,ETHEREUM,36
2025-08-06,ETHEREUM,40
2025-08-07,ETHEREUM,49
2025-08-08,ETHEREUM,69
2025-08-09,ETHEREUM,88
2025-08-10,ETHEREUM,83
2025-08-11,ETHEREUM,67
2025-08-12,ETHEREUM,75
2025-08-13,ETHEREUM,88
2025-08-14,ETHEREUM,72
2025-08-15,ETHEREUM,61
2025-08-16,ETHEREUM,41
2025-08-17,ETHEREUM,41
2025-08-18,ETHEREUM,47
2025-08-19,ETHEREUM,44
2025-08-20,ETHEREUM,43
2025-08-21,ETHEREUM,38
2025-08-22,ETHEREUM,63
2025-08-23,ETHEREUM,47
2025-08-24,ETHEREUM,57
2025-08-25,ETHEREUM,60
2025-08-26,ETHEREUM,49
2025-08-27,ETHEREUM,43
2025-08-28,ETHEREUM,40
2025-08-29,ETHEREUM,78
2025-08-30,ETHEREUM,58
2025-08-31,ETHEREUM,64
2025-09-01,ETHEREUM,68
2025-09-02,ETHEREUM,74
2025-09-03,ETHEREUM,74
2025-09-04,ETHEREUM,70
2025-09-05,ETHEREUM,65
2025-09-06,ETHEREUM,51
2025-09-07,ETHEREUM,51
2025-09-08,ETHEREUM,63
2025-09-09,ETHEREUM,60
2025-09-10,ETHEREUM,55
2025-09-11,ETHEREUM,51
2025-09-12,ETHEREUM,64
2025-09-13,ETHEREUM,62
2025-09-14,ETHEREUM,55
2025-09-15,ETHEREUM,59
2025-09-16,ETHEREUM,64
2025-09-17,ETHEREUM,70
2025-09-18,ETHEREUM,70
2025-09-19,ETHEREUM,60
2025-09-20,ETHEREUM,51
2025-09-21,ETHEREUM,46
2025-09-22,ETHEREUM,75
2025-09-23,ETHEREUM,63
2025-09-24,ETHEREUM,57
2025-09-25,ETHEREUM,76
2025-09-26,ETHEREUM,73
2025-09-27,ETHEREUM,49
2025-09-28,ETHEREUM,54
2025-09-29,ETHEREUM,66
2025-09-30,ETHEREUM,59
2025-10-01,ETHEREUM,64
2025-10-02,ETHEREUM,75
2025-10-03,ETHEREUM,66
2025-10-04,ETHEREUM,48
2025-10-05,ETHEREUM,55
2025-10-06,ETHEREUM,76
2025-10-07,ETHEREUM,77
2025-10-08,ETHEREUM,72
2025-10-09,ETHEREUM,71
2025-10-10,ETHEREUM,75
2025-10-11,ETHEREUM,88
2025-10-12,ETHEREUM,92
2025-10-13,ETHEREUM,84
2025-10-14,ETHEREUM,71
2025-10-15,ETHEREUM,62
2025-10-16,ETHEREUM,66
2025-10-17,ETHEREUM,65
2025-10-18,ETHEREUM,54
2025-10-19,ETHEREUM,53
2025-10-20,ETHEREUM,63
2025-10-21,ETHEREUM,62
2025-10-22,ETHEREUM,58
2025-10-23,ETHEREUM,51
2025-10-24,ETHEREUM,49
2025-10-25,ETHEREUM,47
2025-10-26,ETHEREUM,52
2025-10-27,ETHEREUM,61
2025-10-28,ETHEREUM,55
2025-10-29,ETHEREUM,57
2025-10-30,ETHEREUM,67
2025-10-31,ETHEREUM,67
2025-11-01,ETHEREUM,55
2025-11-02,ETHEREUM,52
2025-11-03,ETHEREUM,76
2025-11-04,ETHEREUM,100
2025-11-05,ETHEREUM,84
2025-11-06,ETHEREUM,68
2025-11-07,ETHEREUM,68
2025-11-08,ETHEREUM,56
2025-11-09,ETHEREUM,67
2025-11-10,ETHEREUM,66
2025-11-11,ETHEREUM,64
2025-11-12,ETHEREUM,58
2025-11-13,ETHEREUM,68
2025-11-14,ETHEREUM,73
2025-11-15,ETHEREUM,57
2025-11-16,ETHEREUM,63
2025-11-17,ETHEREUM,68
2025-11-18,ETHEREUM,66
2025-11-19,ETHEREUM,67
2025-11-20,ETHEREUM,69
2025-11-21,ETHEREUM,75
2025-11-22,ETHEREUM,53
2025-11-23,ETHEREUM,52
2025-11-24,ETHEREUM,56
2025-11-25,ETHEREUM,51
2025-11-26,ETHEREUM,47
