date,coin,price,volume,market_cap
2024-12-24T00:00:00Z,ETHEREUM,3414.6414419807993,35528067791.09896,411423031050.5532
2024-12-25T00:00:00Z,ETHEREUM,3497.5552879275742,24085249644.32143,420708095541.6798
2024-12-26T00:00:00Z,ETHEREUM,3494.5109273631047,17503804977.00058,421029544401.6013
2024-12-27T00:00:00Z,ETHEREUM,3327.7897761683494,21239977785.94795,401038436756.22626
2024-12-28T00:00:00Z,ETHEREUM,3328.6111553091764,24582312087.174118,400705550098.4306
2024-12-29T00:00:00Z,ETHEREUM,3397.8341205085153,13861298668.649797,409451576910.996
2024-12-30T00:00:00Z,ETHEREUM,3357.330742971463,11315432322.371536,404459649875.75726
2024-12-31T00:00:00Z,ETHEREUM,3359.513941757392,27664137021.813133,404631151447.3196
2025-01-01T00:00:00Z,ETHEREUM,3336.6175137659498,21466394178.61746,401972899891.29846
2025-01-02T00:00:00Z,ETHEREUM,3348.967247123586,13440599794.35101,403374380145.697
2025-01-03T00:00:00Z,ETHEREUM,3448.140436960939,22683249623.05199,415300548992.1061
2025-01-04T00:00:00Z,ETHEREUM,3604.2913795931763,22019312215.306797,434290507752.4077
2025-01-05T00:00:00Z,ETHEREUM,3660.37804173532,15951962220.78043,441117087325.0027
2025-01-06T00:00:00Z,ETHEREUM,3635.8549961807084,12542101206.558632,438092711283.22925
2025-01-07T00:00:00Z,ETHEREUM,3687.1447140588307,24440100572.59286,444015369643.70074
2025-01-08T00:00:00Z,ETHEREUM,3380.0211263090155,32832589510.813023,406968109533.227
2025-01-09T00:00:00Z,ETHEREUM,3325.1300293537356,35080974963.72023,400602495132.5278
2025-01-10T00:00:00Z,ETHEREUM,3219.09284475812,30096896683.041233,388324291231.471
2025-01-11T00:00:00Z,ETHEREUM,3269.1759954060667,26722437003.95787,394101246876.45374
2025-01-12T00:00:00Z,ETHEREUM,3283.591322828503,11047744222.743227,395839071861.3172
2025-01-13T00:00:00Z,ETHEREUM,3264.070968533687,9699706283.258541,393199349088.32996
2025-01-14T00:00:00Z,ETHEREUM,3134.5520394596483,41743898872.017,377643507549.0125
2025-01-15T00:00:00Z,ETHEREUM,3224.8006483414138,22365842880.809456,388487746270.3852
2025-01-16T00:00:00Z,ETHEREUM,3447.0340476747956,23773995063.828526,415058425772.0614
2025-01-17T00:00:00Z,ETHEREUM,3309.4466139900196,25012556602.905136,398587196539.9218
2025-01-18T00:00:00Z,ETHEREUM,3477.284285084809,27778832363.7708,419024911827.7939
2025-01-19T00:00:00Z,ETHEREUM,3309.0995676199964,32195594202.134895,398761138447.4049
2025-01-20T00:00:00Z,ETHEREUM,3208.1365439891497,59678736709.7496,388676714260.872
2025-01-21T00:00:00Z,ETHEREUM,3263.069869880814,49563768850.78339,393073139255.5516
2025-01-22T00:00:00Z,ETHEREUM,3326.0285404709143,33762939512.697853,400135429379.4123
2025-01-23T00:00:00Z,ETHEREUM,3237.2996671291435,21782301388.383984,390083338462.87006
2025-01-24T00:00:00Z,ETHEREUM,3332.580893146162,33863218042.431107,401547418905.6495
2025-01-25T00:00:00Z,ETHEREUM,3311.8499838687,25895320216.868122,398942774193.46027
2025-01-26T00:00:00Z,ETHEREUM,3320.1314101789453,12706329663.414034,400427749273.5654
2025-01-27T00:00:00Z,ETHEREUM,3232.2767744705584,13000445022.22209,390058879989.8578
2025-01-28T00:00:00Z,ETHEREUM,3173.5346079397173,41151086046.07612,382221069555.6103
2025-01-29T00:00:00Z,ETHEREUM,3076.4937692857234,19807794444.483303,370532757630.7433
2025-01-30T00:00:00Z,ETHEREUM,3114.4358854363104,22051422147.78046,375574817164.75665
2025-01-31T00:00:00Z,ETHEREUM,3248.249484352305,19504592311.356525,391509879851.78656
2025-02-01T00:00:00Z,ETHEREUM,3296.390634843652,31441846706.254246,396910231325.1062
2025-02-02T00:00:00Z,ETHEREUM,3125.0386801320924,18969060074.552986,376840076476.98303
2025-02-03T00:00:00Z,ETHEREUM,2862.6976188716285,38896518795.21238,344091054313.7205
2025-02-04T00:00:00Z,ETHEREUM,2877.8138239498767,96588727629.45805,346820394641.11206
2025-02-05T00:00:00Z,ETHEREUM,2740.3809762760143,52737830809.63367,329090090858.6241
2025-02-06T00:00:00Z,ETHEREUM,2790.5521609256075,30026391038.27177,335828291113.4543
2025-02-07T00:00:00Z,ETHEREUM,2686.662316793651,31349967107.97825,323756512126.7498
2025-02-08T00:00:00Z,ETHEREUM,2623.4507017824767,30948837988.08186,315636240722.9841
2025-02-09T00:00:00Z,ETHEREUM,2635.6011418023404,16335613332.591795,317758860998.56256
2025-02-10T00:00:00Z,ETHEREUM,2632.5358220552475,17155535243.908037,317369673472.60657
2025-02-11T00:00:00Z,ETHEREUM,2660.2967996436387,18843420567.42921,320711545303.1932
2025-02-12T00:00:00Z,ETHEREUM,2603.0333698049267,21212910085.211273,313943237177.0695
2025-02-13T00:00:00Z,ETHEREUM,2736.2703136032396,26503660438.845695,329492522913.44
2025-02-14T00:00:00Z,ETHEREUM,2675.7090007037627,18938191215.29619,322584072350.2765
2025-02-15T00:00:00Z,ETHEREUM,2724.6698335873957,17416785872.704834,328399065363.05505
2025-02-16T00:00:00Z,ETHEREUM,2692.8213863864253,8896321414.559013,324625278431.52954
2025-02-17T00:00:00Z,ETHEREUM,2659.9017474093457,8757895115.47748,320529173059.00665
2025-02-18T00:00:00Z,ETHEREUM,2741.9050800956124,24666373348.432693,330464530098.92377
2025-02-19T00:00:00Z,ETHEREUM,2669.4945006896073,24353300611.506603,321688672383.7524
2025-02-20T00:00:00Z,ETHEREUM,2714.8018364720533,13398586820.912325,327248168186.7616
2025-02-21T00:00:00Z,ETHEREUM,2741.5933625994785,14550027648.522171,330517520397.0965
2025-02-22T00:00:00Z,ETHEREUM,2658.3470942919384,31770375573.3895,320508273451.5576
2025-02-23T00:00:00Z,ETHEREUM,2764.355233404291,17576653979.14654,333381856893.82196
2025-02-24T00:00:00Z,ETHEREUM,2827.1844084879804,21394599890.269897,340712999974.1412
2025-02-25T00:00:00Z,ETHEREUM,2503.103420098605,31014455208.756138,301769340440.05
2025-02-26T00:00:00Z,ETHEREUM,2495.315451693047,42875934003.323944,301064649480.5458
2025-02-27T00:00:00Z,ETHEREUM,2325.853934699374,28109120496.698666,280668025121.2334
2025-02-28T00:00:00Z,ETHEREUM,2305.3229378029837,89259450649.58,277936135130.74036
2025-03-01T00:00:00Z,ETHEREUM,2235.204208608959,32905594283.00643,269516471615.1616
2025-03-02T00:00:00Z,ETHEREUM,2212.8243514969954,16103021679.018568,266823935338.2421
2025-03-03T00:00:00Z,ETHEREUM,2517.3382391622977,37907412347.33495,303306117779.7704
2025-03-04T00:00:00Z,ETHEREUM,2148.199533470228,33501080617.480988,259111889993.75626
2025-03-05T00:00:00Z,ETHEREUM,2171.496943535016,35524086282.76523,261805780842.5489
2025-03-06T00:00:00Z,ETHEREUM,2241.3841149187283,22236307931.758247,270490243838.00568
2025-03-07T00:00:00Z,ETHEREUM,2202.3207363495417,19895800679.328133,265270135615.0983
2025-03-08T00:00:00Z,ETHEREUM,2140.7498089428914,21716710066.08888,257899503839.8083
2025-03-09T00:00:00Z,ETHEREUM,2199.9995000805707,11257666715.795546,265129957012.69815
2025-03-10T00:00:00Z,ETHEREUM,2017.265460184326,17577023963.685375,243298514477.01385
2025-03-11T00:00:00Z,ETHEREUM,1879.1231054991026,36577317615.21765,226713493940.29108
2025-03-12T00:00:00Z,ETHEREUM,1921.3099227587034,30046602111.893852,232024934655.6445
2025-03-13T00:00:00Z,ETHEREUM,1910.6551381032464,24499314730.70381,230443739229.907
2025-03-14T00:00:00Z,ETHEREUM,1862.7949366490388,19212414462.181553,224658866951.8703
2025-03-15T00:00:00Z,ETHEREUM,1910.6662703455045,12949972214.265629,230476916425.01935
2025-03-16T00:00:00Z,ETHEREUM,1939.7856881721348,6944891086.050841,233970291611.3664
2025-03-17T00:00:00Z,ETHEREUM,1887.7643429692785,9486242392.181334,227688957214.28125
2025-03-18T00:00:00Z,ETHEREUM,1929.1833577618722,11251166846.249075,232725366276.39935
2025-03-19T00:00:00Z,ETHEREUM,1932.7964059050657,10887619567.393353,233152161415.72287
2025-03-20T00:00:00Z,ETHEREUM,2060.728601068271,20374739988.65224,248434080718.19073
2025-03-21T00:00:00Z,ETHEREUM,1980.831780524645,14303790085.616615,238984217654.16632
2025-03-22T00:00:00Z,ETHEREUM,1964.5293833168294,9890112887.282015,236980043535.89395
2025-03-23T00:00:00Z,ETHEREUM,1979.5449257665966,6195605844.536302,238753335160.5841
2025-03-24T00:00:00Z,ETHEREUM,2001.0470230951883,7991413702.677865,241404254258.0785
2025-03-25T00:00:00Z,ETHEREUM,2077.739325831977,15676451247.546822,250648654235.6259
2025-03-26T00:00:00Z,ETHEREUM,2068.598435049149,12563169733.005245,249404519198.06433
2025-03-27T00:00:00Z,ETHEREUM,2009.8835432902426,14024859854.906677,242347645799.6622
2025-03-28T00:00:00Z,ETHEREUM,2003.3034241292064,12136188059.422693,241580699763.4796
2025-03-29T00:00:00Z,ETHEREUM,1896.9173600459985,18419487648.39739,228784244898.24844
